title;start;regipol;cm_ppca_deadline;cm_pubfinex_pol;cm_REdir_mobil;cm_COVID_coal_scen;cm_PPCA_pol;cm_PPCA_size;cm_PPCA_OECD;cm_PPCA_nonOECD;cm_GDPcovid;cm_startyear;cm_NPi_startyr;path_gdx_ref;path_gdx;path_gdx_bau;cm_nash_autoconverge;cm_nash_mode;CES_parameters;regionmapping;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;cm_co2_tax_2020;cm_peakBudgYr;cm_taxCO2inc_after_peakBudgYr;cm_CO2priceRegConvEndYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;cm_fetaxscen;cm_co2_tax_growth;trade;cm_import_EU;cm_bioenergy_tax;cm_bioenergymaxscen;cm_bioprod_histlim;cm_BioImportTax_EU;c_ccsinjecratescen;c_ccscapratescen;c_BaselineAgriEmiRed;cm_ariadne_VRECapFac_adj;cm_CESMkup_build;cm_CESMkup_ind;cm_INNOPATHS_adj_coeff_multiplier;cm_INNOPATHS_adj_seed_multiplier;techpol;regipol;cm_regiCO2target;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;cm_POPscen;cm_GDPscen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_OILRETIRE;cm_LU_emi_scen;cm_tradecost_bio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;water;cm_EDGEtr_scen;optimization;c_testOneRegi_region;description
SSP2EU-Base;0;none;2050;none;none;none;none;none;off;off;1;2005;2025;;;;2;parallel;load;config/regionmappingH12.csv;none;0;off;0;none;-1;2100;3;2050;1;GLO 0.09, EUR_regi 0.15;off;3;1.05;standard;off;1.5;0;-1;0;1;1;0;off;standard;standard;off;off;none;none;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;Mix1;nash;NEU;
SSP2EU-NDC;0;none;2050;none;none;none;none;none;off;off;1;2020;2025;./output/SSP2EU-Base_2022-10-07_15.19.34/fulldata.gdx;./config/valid_3p0_gdxes/SSP2EU-NDC.gdx;./output/SSP2EU-Base_2022-10-07_15.19.34/fulldata.gdx;2;parallel;load;config/regionmappingH12.csv;rcp45;3;globallyOptimal;0;NDC;1;2100;3;2050;9;GLO 0.09, EUR_regi 0.15; GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;3;1.05;standard;off;1.5;0;-1;0;1;1;0;off;standard;standard;off;off;NDC;none;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;Mix2;nash;NEU;
SSP2EU-NDC-Neutral;0;PPCAcoalExit;2050;none;none;Neutral;none;none;off;off;1;2020;2025;./output/SSP2EU-Base_2022-10-07_15.19.34/fulldata.gdx;./config/valid_3p0_gdxes/SSP2EU-NDC.gdx;./output/SSP2EU-Base_2022-10-07_15.19.34/fulldata.gdx;2;parallel;load;config/regionmappingH12.csv;rcp45;3;globallyOptimal;0;NDC;1;2100;3;2050;9;GLO 0.09, EUR_regi 0.15; GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;3;1.05;standard;off;1.5;0;-1;0;1;1;0;off;standard;standard;off;off;NDC;none;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;Mix2;nash;NEU;
SSP2EU-NPi;0;none;2050;none;none;none;none;none;off;off;1;2025;2025;SSP2EU-NDC;./output/SSP2EU-NPi_2022-10-10_19.45.44/fulldata.gdx;./output/SSP2EU-Base_2022-10-07_15.19.34/fulldata.gdx;2;parallel;load;config/regionmappingH12.csv;rcp45;3;off;0;NPi2018;1;2100;3;2050;9;GLO 0.09, EUR_regi 0.15; GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;3;1.05;standard;off;1.5;0;-1;0;1;1;0;off;standard;standard;off;off;NPi2018;none;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;Mix1;nash;NEU;
SSP2EU-NPi-Neutral;0;PPCAcoalExit;2050;none;none;Neutral;none;none;off;off;1;2025;2025;./output/SSP2EU-NDC_2022-10-10_13.29.14/fulldata.gdx;./output/SSP2EU-NPi_2022-10-10_19.45.44/fulldata.gdx;./output/SSP2EU-Base_2022-10-07_15.19.34/fulldata.gdx;2;parallel;load;config/regionmappingH12.csv;rcp45;3;off;0;NPi2018;1;2100;3;2050;9;GLO 0.09, EUR_regi 0.15; GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;3;1.05;standard;off;1.5;0;-1;0;1;1;0;off;standard;standard;off;off;NPi2018;none;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;Mix1;nash;NEU;
SSP2EU-PkBudg500;0;none;2050;none;none;none;none;none;off;off;1;2025;2025;SSP2EU-NDC;;./output/SSP2EU-Base_2022-10-07_15.19.34/fulldata.gdx;2;parallel;load;config/regionmappingH12.csv;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;3;2050;9;GLO 0.09, EUR_regi 0.15; GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;3;1.05;standard;off;1.5;0;-1;0;1;1;0;off;standard;standard;off;off;NDC;none;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;heat;Mix4;nash;NEU;
SSP2EU-PkBudg1150;0;none;2050;none;none;none;none;none;off;off;1;2025;2025;SSP2EU-NDC;;./output/SSP2EU-Base_2022-10-07_15.19.34/fulldata.gdx;2;parallel;load;config/regionmappingH12.csv;rcp26;9;globallyOptimal;1150;diffCurvPhaseIn2Lin;60;2100;3;2050;9;GLO 0.09, EUR_regi 0.15; GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;3;1.05;standard;off;1.5;0;-1;0;1;1;0;off;standard;standard;off;off;NDC;none;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;heat;Mix3;nash;NEU;
PPCAcop26-limFE1p5_2020start;0;PPCAcoalExit;2050;none;none;Neutral;power;current;on;on;1;2020;2020;./output/SSP2EU-NPi_2022-10-10_19.45.44/fulldata.gdx;./output/PPCAcop26-gdpEU_csp_2022-11-15_14.06.26/fulldata.gdx;./output/SSP2EU-Base_2022-10-07_15.19.34/fulldata.gdx;2;parallel;load;config/regionmappingH12.csv;rcp45;3;off;0;NPi2018;1;2100;3;2050;9;GLO 0.09, EUR_regi 0.15; GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;3;1.05;standard;off;1.5;0;-1;0;1;1;0;off;standard;standard;off;off;NPi2018;none;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;Mix1;nash;OAS;
PPCAcop26-limFE1p5;0;PPCAcoalExit;2050;none;none;Neutral;power;current;on;on;1;2025;2025;./output/SSP2EU-NPi_2022-10-10_19.45.44/fulldata.gdx;./output/SSP2EU-NPi_2022-10-10_19.45.44/fulldata.gdx;./output/SSP2EU-NPi_2022-10-10_19.45.44/fulldata.gdx;2;parallel;load;config/regionmappingH12.csv;rcp45;3;off;0;NPi2018;1;2100;3;2050;9;GLO 0.09, EUR_regi 0.15; GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;3;1.05;standard;off;1.5;0;-1;0;1;1;0;off;standard;standard;off;off;NPi2018;none;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;Mix1;nash;NEU;
PPCA-limFE1p5-oecd50p;0;PPCAcoalExit;2050;none;none;Neutral;power;2p;on;off;1;2030;2025;./output/PPCAcop26-limSE2p5x2060_2023-01-10_19.21.31/fulldata.gdx;./output/REdirect_HI-gdpEU_csp-nonoecd50p_2022-11-02_19.48.26/fulldata.gdx;./output/PPCAcop26-limSE2p5x2060_2023-01-10_19.21.31/fulldata.gdx;2;parallel;load;config/regionmappingH12.csv;rcp45;3;off;0;NPi2018;1;2100;3;2050;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;3;1.05;standard;off;1.5;0;-1;0;1;1;0;off;standard;standard;off;off;NPi2018;none;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;Mix1;nash;NEU;
